country,sex,suicide_rate
Mauritius,Male,11.90
Mexico,Female,1.90
Mexico,Male,10.70
"Micronesia (Federated States of)",Female,8.20
"Micronesia (Federated States of)",Male,19.70
Mongolia,Female,6.10
Mongolia,Male,20.40
Montenegro,Female,9.00
Montenegro,Male,27.70
Morocco,Female,6.00
Morocco,Male,3.10
Mozambique,Female,10.40
Mozambique,Male,25.50
Myanmar,Female,12.40
Myanmar,Male,10.80
Namibia,Female,10.60
Namibia,Male,32.70
Nepal,Female,8.10
Nepal,Male,17.60
Netherlands,Female,11.40
Netherlands,Male,23.30
"New Zealand",Female,3.80
"New Zealand",Male,12.70
Nicaragua,Female,2.40
Nicaragua,Male,15.50
Niger,Female,18.80
Niger,Male,26.50
Nigeria,Female,55.40
Nigeria,Male,41.70
Norway,Female,11.70
Norway,Male,20.90
Oman,Female,1.70
Oman,Male,4.70
Pakistan,Female,2.70
Pakistan,Male,3.20
Panama,Female,0.60
Panama,Male,8.10
"Papua New Guinea",Female,6.50
"Papua New Guinea",Male,15.30
Paraguay,Female,3.70
Paraguay,Male,12.80
Peru,Female,3.10
Peru,Male,14.10
Philippines,Female,1.30
Philippines,Male,7.20
Poland,Female,6.30
Poland,Male,40.10
Portugal,Female,8.20
Portugal,Male,29.60
Qatar,Female,3.70
Qatar,Male,12.60
"Republic of Korea",Female,15.50
"Republic of Korea",Male,54.20
"Republic of Moldova",Female,8.70
"Republic of Moldova",Male,51.30
"Republic of North Macedonia",Female,6.90
"Republic of North Macedonia",Male,19.50
Romania,Female,5.20
Romania,Male,30.10
"Russian Federation",Female,9.80
"Russian Federation",Male,61.40
Rwanda,Female,15.10
Rwanda,Male,35.30
"Saint Lucia",Female,0.00
"Saint Lucia",Male,25.40
"Saint Vincent and the Grenadines",Female,0.00
"Saint Vincent and the Grenadines",Male,5.40
Samoa,Female,5.20
Samoa,Male,20.40
"Sao Tome and Principe",Female,3.10
"Sao Tome and Principe",Male,7.30
"Saudi Arabia",Female,3.30
"Saudi Arabia",Male,8.10
Senegal,Female,16.30
Senegal,Male,56.40
Serbia,Female,10.60
Serbia,Male,35.40
Seychelles,Female,3.50
Seychelles,Male,30.40
"Sierra Leone",Female,40.80
"Sierra Leone",Male,37.70
Singapore,Female,8.60
Singapore,Male,22.80
Slovakia,Female,5.20
Slovakia,Male,32.40
Slovenia,Female,12.80
Slovenia,Male,41.00
"Solomon Islands",Female,5.00
"Solomon Islands",Male,12.90
Somalia,Female,13.40
Somalia,Male,23.30
"South Africa",Female,10.40
"South Africa",Male,41.70
"South Sudan",Female,10.90
"South Sudan",Male,18.20
Spain,Female,5.80
Spain,Male,15.90
"Sri Lanka",Female,7.80
"Sri Lanka",Male,32.20
Sudan,Female,3.00
Sudan,Male,8.60
Suriname,Female,13.00
Suriname,Male,58.70
Sweden,Female,11.10
Sweden,Male,23.50
Switzerland,Female,13.00
Switzerland,Male,30.30
"Syrian Arab Republic",Female,1.50
"Syrian Arab Republic",Male,4.00
Tajikistan,Female,4.80
Tajikistan,Male,10.60
Thailand,Female,10.60
Thailand,Male,26.10
